================ Training Loss (Sun May 16 08:25:55 2021) ================
(epoch: 1, iters: 100, time: 0.046, data: 0.275) G_GAN: 2.527 G_L1: 23.669 D_real: 0.060 D_fake: 0.133 
(epoch: 2, iters: 51, time: 0.049, data: 0.002) G_GAN: 1.187 G_L1: 8.978 D_real: 0.871 D_fake: 0.581 
(epoch: 3, iters: 2, time: 0.047, data: 0.001) G_GAN: 1.801 G_L1: 36.343 D_real: 0.021 D_fake: 0.456 
(epoch: 3, iters: 102, time: 0.142, data: 0.000) G_GAN: 0.666 G_L1: 6.608 D_real: 0.505 D_fake: 1.071 
(epoch: 4, iters: 53, time: 0.046, data: 0.001) G_GAN: 1.476 G_L1: 56.935 D_real: 0.003 D_fake: 0.521 
(epoch: 5, iters: 4, time: 0.047, data: 0.001) G_GAN: 3.077 G_L1: 49.332 D_real: 0.013 D_fake: 0.061 
(epoch: 5, iters: 104, time: 0.047, data: 0.002) G_GAN: 2.670 G_L1: 24.748 D_real: 0.032 D_fake: 0.233 
(epoch: 6, iters: 55, time: 0.145, data: 0.001) G_GAN: 1.945 G_L1: 10.837 D_real: 1.546 D_fake: 0.079 
(epoch: 7, iters: 6, time: 0.048, data: 0.001) G_GAN: 2.039 G_L1: 17.257 D_real: 0.007 D_fake: 0.281 
(epoch: 7, iters: 106, time: 0.049, data: 0.000) G_GAN: 2.627 G_L1: 33.165 D_real: 0.010 D_fake: 0.413 
(epoch: 8, iters: 57, time: 0.049, data: 0.001) G_GAN: 1.405 G_L1: 3.900 D_real: 0.305 D_fake: 0.333 
(epoch: 9, iters: 8, time: 0.157, data: 0.001) G_GAN: 2.046 G_L1: 11.277 D_real: 0.157 D_fake: 0.183 
(epoch: 9, iters: 108, time: 0.048, data: 0.001) G_GAN: 1.602 G_L1: 10.477 D_real: 2.685 D_fake: 0.097 
(epoch: 10, iters: 59, time: 0.046, data: 0.001) G_GAN: 1.552 G_L1: 12.836 D_real: 0.374 D_fake: 0.080 
(epoch: 11, iters: 10, time: 0.048, data: 0.001) G_GAN: 0.933 G_L1: 3.177 D_real: 0.749 D_fake: 0.541 
(epoch: 11, iters: 110, time: 0.157, data: 0.001) G_GAN: 1.735 G_L1: 18.344 D_real: 0.002 D_fake: 0.271 
(epoch: 12, iters: 61, time: 0.049, data: 0.001) G_GAN: 2.055 G_L1: 10.050 D_real: 0.065 D_fake: 0.266 
(epoch: 13, iters: 12, time: 0.048, data: 0.001) G_GAN: 1.628 G_L1: 30.383 D_real: 0.004 D_fake: 0.230 
(epoch: 13, iters: 112, time: 0.048, data: 0.001) G_GAN: 1.688 G_L1: 45.669 D_real: 0.004 D_fake: 0.501 
(epoch: 14, iters: 63, time: 0.165, data: 0.001) G_GAN: 1.578 G_L1: 12.533 D_real: 0.452 D_fake: 0.137 
(epoch: 15, iters: 14, time: 0.047, data: 0.001) G_GAN: 1.064 G_L1: 45.912 D_real: 0.007 D_fake: 0.558 
(epoch: 15, iters: 114, time: 0.049, data: 0.001) G_GAN: 1.967 G_L1: 61.458 D_real: 0.030 D_fake: 0.808 
(epoch: 16, iters: 65, time: 0.050, data: 0.001) G_GAN: 1.243 G_L1: 48.302 D_real: 0.138 D_fake: 0.758 
(epoch: 17, iters: 16, time: 0.159, data: 0.001) G_GAN: 0.934 G_L1: 5.433 D_real: 1.315 D_fake: 0.274 
(epoch: 17, iters: 116, time: 0.048, data: 0.001) G_GAN: 1.014 G_L1: 4.464 D_real: 0.529 D_fake: 0.470 
(epoch: 18, iters: 67, time: 0.050, data: 0.001) G_GAN: 0.739 G_L1: 5.782 D_real: 1.459 D_fake: 0.225 
(epoch: 19, iters: 18, time: 0.047, data: 0.001) G_GAN: 1.289 G_L1: 2.409 D_real: 1.157 D_fake: 0.280 
(epoch: 19, iters: 118, time: 0.203, data: 0.001) G_GAN: 1.966 G_L1: 41.796 D_real: 0.009 D_fake: 0.223 
(epoch: 20, iters: 69, time: 0.048, data: 0.001) G_GAN: 1.941 G_L1: 47.349 D_real: 0.151 D_fake: 0.181 
(epoch: 21, iters: 20, time: 0.046, data: 0.001) G_GAN: 1.496 G_L1: 3.301 D_real: 0.209 D_fake: 0.295 
(epoch: 21, iters: 120, time: 0.049, data: 0.001) G_GAN: 2.479 G_L1: 14.326 D_real: 0.453 D_fake: 0.082 
(epoch: 22, iters: 71, time: 0.180, data: 0.002) G_GAN: 1.062 G_L1: 2.297 D_real: 0.857 D_fake: 0.392 
